"timestamp","temperature_type","temperature"
"20190101T0000","temperature_mean",5.0505285
"20190101T0000","temperature_min",0.0505285
"20190101T0000","temperature_max",9.0505285
"20190101T0100","temperature_mean",4.9005284
"20190101T0100","temperature_min",2.9005284
"20190101T0100","temperature_max",8.9005284
"20190101T0200","temperature_mean",4.8105288
"20190101T0200","temperature_min",1.8105288
"20190101T0200","temperature_max",5.8105288
"20190101T0300","temperature_mean",4.7305284
"20190101T0300","temperature_min",-0.2694716
"20190101T0300","temperature_max",7.7305284
"20190101T0400","temperature_mean",4.6005287
"20190101T0400","temperature_min",3.6005287
"20190101T0400","temperature_max",5.6005287
"20190101T0500","temperature_mean",4.5805287
"20190101T0500","temperature_min",1.5805287
"20190101T0500","temperature_max",6.5805287
"20190101T0600","temperature_mean",4.5605288
"20190101T0600","temperature_min",3.5605288
"20190101T0600","temperature_max",8.5605288
"20190101T0700","temperature_mean",4.4905286
"20190101T0700","temperature_min",-0.5094714
"20190101T0700","temperature_max",6.4905286
"20190101T0800","temperature_mean",4.3305287
"20190101T0800","temperature_min",-0.6694713
"20190101T0800","temperature_max",6.3305287
"20190101T0900","temperature_mean",4.2405286
"20190101T0900","temperature_min",3.2405286
"20190101T0900","temperature_max",5.2405286
"20190101T1000","temperature_mean",4.7105284
"20190101T1000","temperature_min",3.7105284
"20190101T1000","temperature_max",6.7105284
"20190101T1100","temperature_mean",5.4805284
"20190101T1100","temperature_min",4.4805284
"20190101T1100","temperature_max",10.4805284
"20190101T1200","temperature_mean",6.1405287
"20190101T1200","temperature_min",5.1405287
"20190101T1200","temperature_max",9.1405287
"20190101T1300","temperature_mean",6.5205283
"20190101T1300","temperature_min",1.5205283
"20190101T1300","temperature_max",8.5205283
"20190101T1400","temperature_mean",7.1005287
"20190101T1400","temperature_min",3.1005287
"20190101T1400","temperature_max",8.1005287
"20190101T1500","temperature_mean",6.0105286
"20190101T1500","temperature_min",3.0105286
"20190101T1500","temperature_max",8.0105286
"20190101T1600","temperature_mean",5.4605284
"20190101T1600","temperature_min",1.4605284
"20190101T1600","temperature_max",8.4605284
"20190101T1700","temperature_mean",4.7205286
"20190101T1700","temperature_min",3.7205286
"20190101T1700","temperature_max",9.7205286
"20190101T1800","temperature_mean",3.9605286
"20190101T1800","temperature_min",-0.0394714
"20190101T1800","temperature_max",7.9605286
"20190101T1900","temperature_mean",4.0805287
"20190101T1900","temperature_min",3.0805287
"20190101T1900","temperature_max",6.0805287
"20190101T2000","temperature_mean",3.9805286
"20190101T2000","temperature_min",2.9805286
"20190101T2000","temperature_max",5.9805286
"20190101T2100","temperature_mean",3.9805286
"20190101T2100","temperature_min",-0.0194714
"20190101T2100","temperature_max",4.9805286
"20190101T2200","temperature_mean",3.8705285
"20190101T2200","temperature_min",2.8705285
"20190101T2200","temperature_max",7.8705285
"20190101T2300","temperature_mean",3.8405285
"20190101T2300","temperature_min",-1.1594715
"20190101T2300","temperature_max",4.8405285
"20190102T0000","temperature_mean",3.7505286
"20190102T0000","temperature_min",2.7505286
"20190102T0000","temperature_max",4.7505286
"20190102T0100","temperature_mean",3.5905285
"20190102T0100","temperature_min",0.5905285
"20190102T0100","temperature_max",5.5905285
"20190102T0200","temperature_mean",3.4705286
"20190102T0200","temperature_min",1.4705286
"20190102T0200","temperature_max",8.4705286
"20190102T0300","temperature_mean",3.1905286
"20190102T0300","temperature_min",2.1905286
"20190102T0300","temperature_max",6.1905286
"20190102T0400","temperature_mean",1.6705287
"20190102T0400","temperature_min",-1.3294713
"20190102T0400","temperature_max",4.6705287
"20190102T0500","temperature_mean",1.0005287
"20190102T0500","temperature_min",-0.9994713
"20190102T0500","temperature_max",2.0005287
"20190102T0600","temperature_mean",0.53052866
"20190102T0600","temperature_min",-2.46947134
"20190102T0600","temperature_max",2.53052866
"20190102T0700","temperature_mean",0.28052866
"20190102T0700","temperature_min",-4.71947134
"20190102T0700","temperature_max",5.28052866
"20190102T0800","temperature_mean",0.28052866
"20190102T0800","temperature_min",-4.71947134
"20190102T0800","temperature_max",4.28052866
"20190102T0900","temperature_mean",1.0605286
"20190102T0900","temperature_min",0.0605286
"20190102T0900","temperature_max",4.0605286
"20190102T1000","temperature_mean",1.6205287
"20190102T1000","temperature_min",0.6205287
"20190102T1000","temperature_max",5.6205287
"20190102T1100","temperature_mean",2.3805285
"20190102T1100","temperature_min",-1.6194715
"20190102T1100","temperature_max",4.3805285
"20190102T1200","temperature_mean",3.0405285
"20190102T1200","temperature_min",0.0405285
"20190102T1200","temperature_max",4.0405285
"20190102T1300","temperature_mean",4.1805286
"20190102T1300","temperature_min",1.1805286
"20190102T1300","temperature_max",9.1805286
"20190102T1400","temperature_mean",4.5505285
"20190102T1400","temperature_min",2.5505285
"20190102T1400","temperature_max",8.5505285
"20190102T1500","temperature_mean",4.3205285
"20190102T1500","temperature_min",3.3205285
"20190102T1500","temperature_max",5.3205285
"20190102T1600","temperature_mean",4.1705284
"20190102T1600","temperature_min",-0.8294716
"20190102T1600","temperature_max",6.1705284
"20190102T1700","temperature_mean",3.6905286
"20190102T1700","temperature_min",1.6905286
"20190102T1700","temperature_max",4.6905286
"20190102T1800","temperature_mean",2.2105286
"20190102T1800","temperature_min",0.2105286
"20190102T1800","temperature_max",5.2105286
"20190102T1900","temperature_mean",1.6305287
"20190102T1900","temperature_min",-0.3694713
"20190102T1900","temperature_max",6.6305287
"20190102T2000","temperature_mean",0.93052864
"20190102T2000","temperature_min",-1.06947136
"20190102T2000","temperature_max",5.93052864
