Word,Length,SUBTLWF,Concreteness_Rating,Emotional_Valence
abandon,7,8.10,2.54,2.84
abdomen,7,3.35,4.7,5.43
abdominal,9,3.41,4.28,4.48
abduction,9,3.63,3.07,2.05
abide,5,2.71,1.68,5.52
ability,7,19.22,1.81,7
able,4,159.90,2.38,6.64
abnormal,8,2.90,2.14,3.53
abort,5,4.61,2.83,3.1
abortion,8,7.24,3.41,2.58
abracadabra,11,1.04,2.04,5.11
abrupt,6,1.14,2.27,3.28
absence,7,6.31,2.31,3.86
absent,6,2.57,2.7,4.1
absolute,8,11.31,1.81,5.43
absorb,6,1.98,3.11,5.5
abstract,8,2.18,1.45,5.25
absurd,6,9.71,1.64,4.45
abuse,5,10.25,2.71,1.53
abusive,7,1.63,2.55,2.05
abyss,5,1.76,3.07,3.9
academic,8,4.67,2.11,6.61
academy,7,12.41,4.29,5.32
accelerate,10,1.27,3.48,6.1
accelerator,11,1.35,4.32,5.63
accent,6,12.18,3.26,6.48
accept,6,52.78,3.03,6.39
acceptable,10,5.27,1.93,6.59
acceptance,10,3.16,2.21,6.84
access,6,31.67,2.71,6.68
accessible,10,1.10,1.8,6.68
accessory,9,2.88,4.1,5.35
accident,8,81.29,3.26,2.55
accidental,10,3.00,2.17,3.46
accommodate,11,2.14,1.86,6.35
accompany,9,4.75,3.07,5.47
accomplice,10,4.24,3.34,4.6
accomplish,10,5.84,2.33,7.45
accomplishment,14,1.88,2.5,8.05
accord,6,1.63,1.57,6.38
accordion,9,1.31,4.86,5.26
account,7,44.71,3.08,5.39
accountable,11,1.41,2.21,5.7
accountant,10,6.18,4.41,5.19
accounting,10,4.51,3.27,4.42
accuracy,8,1.49,1.85,6.32
accurate,8,7.84,1.9,7.42
accusation,10,2.80,2.38,3.38
accuse,6,5.69,2.25,2.68
ace,3,14.73,3.92,6.37
ache,4,2.49,3.43,3.27
achieve,7,7.33,2.29,7.75
achievement,11,3.49,2.37,7.28
acid,4,9.96,4.25,3.26
acknowledge,11,6.14,2.03,6.43
acquaintance,12,5.35,3.41,5.58
acquire,7,2.65,2.93,5.5
acquisition,11,1.45,2.6,5
acre,4,1.82,4.18,5.53
act,3,109.12,2.46,5.64
action,6,61.08,2.86,6
activate,8,4.67,2.97,5.7
active,6,11.45,3.32,6.47
activity,8,12.88,2.72,6.21
actor,5,26.33,4.57,6.15
actress,7,16.02,4.54,5.42
actual,6,17.33,2.22,6.22
acute,5,2.94,1.92,5.1
ad,2,13.61,4.46,4.11
adapt,5,2.63,2.41,5.84
adaptation,10,1.59,2.04,5.82
add,3,33.06,3,6.23
addict,6,5.35,3.14,2.86
addicted,8,4.53,2.13,2.89
addiction,9,3.90,2.85,3.52
additional,10,5.88,2.43,6.15
address,7,52.27,3.89,6.11
adequate,8,2.59,1.97,4.7
adjacent,8,1.33,3.63,5.15
adjoining,9,1.12,2.93,5.06
adjourn,7,1.29,2.54,5.5
adjust,6,5.63,2.93,5.76
adjustment,10,3.10,2.81,5.53
administer,10,1.67,2.53,4.4
administration,14,7.59,2.78,4.45
administrative,14,1.61,2.14,4.79
administrator,13,1.65,3.89,5.32
admirable,9,2.61,1.81,7
admiral,7,16.57,4.11,4.8
admiration,10,2.10,1.86,7.58
admire,6,14.16,2.04,7.35
admired,7,3.67,1.84,7.25
admirer,7,2.96,2.93,7.05
admission,9,3.55,2.83,5.91
admit,5,59.20,2.32,5.56
adolescent,10,1.84,3.48,5.38
adopt,5,4.67,2.36,6.9
adoption,8,4.69,3.03,6.68
adorable,8,10.53,1.86,7.4
adore,5,7.73,2.34,7.37
adrift,6,1.00,2.71,4.36
adult,5,14.29,4.4,5.9
adultery,8,1.94,2.79,2.81
advance,7,15.98,2.57,6.11
advanced,8,8.84,1.83,6.14
advancement,11,1.24,2.1,7.47
advantage,9,22.06,2,6.71
adventure,9,13.43,2.59,7.4
adventurous,11,1.22,1.95,7.37
adversary,9,1.51,2.93,4.55
adversity,9,1.06,1.44,4.26
advertise,9,1.65,2.81,5.16
advertisement,13,1.20,3.77,4.3
advertising,11,7.43,3.88,4.68
advice,6,47.98,2.73,5.78
advise,6,12.20,2.03,5.44
adviser,7,1.04,3.67,5.68
advisor,7,4.41,4.15,4.74
advisory,8,1.00,2.5,4.95
advocate,8,2.22,2.72,5.25
aerial,6,2.53,3.04,6.04
aerospace,9,1.08,3.19,5.79
affair,6,29.45,2.45,3.1
affect,6,11.14,1.93,5.65
affection,9,8.45,2.22,7.89
affectionate,12,2.25,2.28,7.23
affidavit,9,1.96,4,4.38
affirmative,11,4.73,1.93,5.94
affliction,10,1.18,2.27,3.76
afford,6,44.43,1.83,6.56
afloat,6,1.67,3.34,5.57
afraid,6,247.67,2.7,2.25
afterlife,9,1.59,1.9,5.53
aftermath,9,1.04,1.97,4.29
afternoon,9,91.49,3.7,6.68
aftershave,10,1.08,4.56,5.55
age,3,79.20,2.86,5.78
agency,6,19.43,3.87,5.14
agenda,6,7.31,2.66,5.05
agent,5,102.65,3.61,5.23
aggravation,11,1.16,1.53,2.48
aggression,10,2.80,2.68,3.18
aggressive,10,7.94,2.54,3.08
aging,5,2.57,2.88,3
agony,5,3.75,2.38,2.46
agree,5,64.67,2.31,7.17
agreeable,9,1.59,2.07,6.9
agreement,9,17.49,2.22,6.75
agriculture,11,1.10,3.67,6.1
ahoy,4,3.71,2,5.58
aid,3,13.90,3.1,6.29
aide,4,2.02,3.59,5.6
aim,3,14.86,3.27,5.95
air,3,139.02,4.11,6.71
airborne,8,4.22,3.45,5.25
aircraft,8,9.45,4.4,6.3
airfield,8,2.31,4.7,5.74
airline,7,6.49,4,5.36
airplane,8,10.92,4.96,5.25
airport,7,38.04,4.87,6
airspace,8,1.61,3.58,5.5
airstrip,8,1.12,4.68,4.76
airtight,8,1.12,3.42,5.1
airway,6,1.63,4.34,4.95
aisle,5,7.43,4.35,5.17
alarm,5,29.84,4.47,3.86
alarming,8,1.14,2.07,3.52
